wkt_geom,Prov_ID,Province,Dist_ID,District,Longitude,Latitude
POINT(30.44539187624978283 -1.61907593351633294),5,Eastern Province,53,Gatsibo,30.44539188,1.61907593351633294
POINT(29.72272538213003301 -1.9548907110369993),2,Southern Province,27,Muhanga,29.72272538,1.9548907110369993
POINT(30.11387116565671107 -1.62157664604772656),4,Northern Province,45,Gicumbi,30.11387117,1.62157664604772656
POINT(30.14372498206437356 -2.00886367940993305),1,Kigali City,13,Kicukiro,30.14372498,2.00886367940993305
POINT(29.98722685498238505 -1.73928358683540596),4,Northern Province,41,Rulindo,29.98722685,1.73928358683540596
POINT(29.51687590310958598 -2.69484387034010142),2,Southern Province,23,Nyaruguru,29.5168759,2.69484387034010142
POINT(30.35473585167836674 -1.97549651070343946),5,Eastern Province,51,Rwamagana,30.35473585,1.97549651070343946
POINT(29.90240320690512732 -2.00944646085529977),2,Southern Province,28,Kamonyi,29.90240321,2.00944646085529977
POINT(30.14221204833539147 -1.89144733707354451),1,Kigali City,12,Gasabo,30.14221205,1.89144733707354451
POINT(29.56946501894480406 -1.87784485514414223),3,Western Province,35,Ngororero,29.56946502,1.87784485514414223
POINT(29.34269335413398849 -1.65396933825728931),3,Western Province,33,Rubavu,29.34269335,1.65396933825728931
POINT(29.46987877213960161 -2.41135618928995621),2,Southern Province,25,Nyamagabe,29.46987877,2.41135618928995621
POINT(29.8265446555571323 -1.46624298042764845),4,Northern Province,44,Burera,29.82654466,1.46624298042764845
POINT(29.51051537556619309 -1.6473921790361703),3,Western Province,34,Nyabihu,29.51051538,1.6473921790361703
POINT(29.78423663956539613 -1.69853058352873276),4,Northern Province,42,Gakenke,29.78423664,1.69853058352873276
POINT(29.16623033844676272 -2.37350884702246789),3,Western Province,37,Nyamasheke,29.16623034,2.37350884702246789
POINT(30.71034473792538577 -2.23439612633317131),5,Eastern Province,55,Kirehe,30.71034474,2.23439612633317131
POINT(30.37992503503529917 -1.33824885547019279),5,Eastern Province,52,Nyagatare,30.37992504,1.33824885547019279
POINT(30.15016619384319085 -2.23976571691581228),5,Eastern Province,57,Bugesera,30.15016619,2.23976571691581228
POINT(29.43132069623643687 -2.15670721182881531),3,Western Province,31,Karongi,29.4313207,2.15670721182881531
POINT(29.70879513426893581 -2.52464457930509045),2,Southern Province,24,Huye,29.70879513,2.52464457930509045
POINT(29.60659743764841068 -1.49853529150656861),4,Northern Province,43,Musanze,29.60659744,1.49853529150656861
POINT(29.08743061811287944 -2.56537162354070913),3,Western Province,36,Rusizi,29.08743062,2.56537162354070913
POINT(30.45718802733669506 -2.18299296045439828),5,Eastern Province,56,Ngoma,30.45718803,2.18299296045439828
POINT(30.02886536134083428 -1.99200475508649077),1,Kigali City,11,Nyarugenge,30.02886536,1.99200475508649077
POINT(29.84360338606871821 -2.61811188825145225),2,Southern Province,22,Gisagara,29.84360339,2.61811188825145225
POINT(30.64197861093327546 -1.84512559534216347),5,Eastern Province,54,Kayonza,30.64197861,1.84512559534216347
POINT(29.77176053219154284 -2.19359772453678392),2,Southern Province,26,Ruhango,29.77176053,2.19359772453678392
POINT(29.79346313648000333 -2.33586083018547708),2,Southern Province,21,Nyanza,29.79346314,2.33586083018547708
POINT(29.39904174077238252 -1.90372509877994078),3,Western Province,32,Rutsiro,29.39904174,1.90372509877994078
